ts,platform,ms_played,master_metadata_track_name,master_metadata_album_artist_name,master_metadata_album_album_name,spotify_track_uri,reason_end,shuffle,skipped,count
2023-12-16T02:59:00Z,desktop,41294,Dear Sputnik,TOMORROW X TOGETHER,The Chaos Chapter: FREEZE,spotify:track:7ypFllJwlotXBJfLjsXhvo,fwdbtn,True,True,6
2023-05-11T17:03:10Z,desktop,19101,Dawn,KIM WOO SEOK,Blank Page,spotify:track:5725iqZgzHvcHEUCRPmaj4,fwdbtn,True,True,6
2023-07-22T20:37:17Z,desktop,12829,ASAP,NewJeans,NewJeans 2nd EP 'Get Up',spotify:track:5fpyAakgFOm4YTXkgfPzvV,endplay,True,True,6
2023-07-19T02:54:14Z,desktop,7325,vampire,Olivia Rodrigo,vampire,spotify:track:3k79jB4aGmMDUQzEwa46Rz,endplay,True,True,6
2023-12-26T07:59:53Z,phone,2816,I Do,D.O.,I Do,spotify:track:1uOFPJmg1yx3sfBqgv1JAS,fwdbtn,True,True,6
2023-12-23T08:17:13Z,phone,5929,24 to 25,Stray Kids,Christmas EveL,spotify:track:6WM7pRXIeXuZ3Wowi9v1Wr,fwdbtn,True,True,6
2023-07-09T19:28:26Z,desktop,26645,Please Don't Go,Joel Adams,Please Don't Go,spotify:track:3cNjgVBKTJ1SvKhunrCdVy,endplay,True,True,6
2023-07-06T21:01:08Z,desktop,580,Parallel Universe,NINE.i,NEW WORLD,spotify:track:5BMiCwETGMSSC7gM88cemX,fwdbtn,True,True,6
2023-07-06T18:05:10Z,phone,4070,Give Me Your TMI,Stray Kids,MAXIDENT,spotify:track:7CQhZA3qNDZBoTKWqjD7gR,fwdbtn,True,True,6
2024-01-09T08:35:12Z,phone,1002,Dandelions,Ruth B.,Safe Haven,spotify:track:2eAvDnpXP5W0cVtiI0PUxV,fwdbtn,True,True,6
2023-12-19T06:56:40Z,desktop,6571,So I Danced,DPR IAN,So I Danced,spotify:track:6OXq1P3P8Z8ky2x8dDtHSH,endplay,True,True,6
2023-08-20T20:45:54Z,phone,172795,go away,Tate McRae,i used to think i could fly,spotify:track:40yVW4Ywyxz8xkNcuLbP1N,fwdbtn,True,True,6
2023-07-16T06:16:31Z,desktop,243925,00:00 (Zero O’Clock),BTS,MAP OF THE SOUL : 7,spotify:track:6fqaMyg066xlukvUJWdM2T,endplay,True,True,6
2023-08-02T15:16:18Z,desktop,17345,"SLUMP (""Tower of God"" ED)",Stray Kids,GO LIVE,spotify:track:7clTWebfXxZG2lQYe24luY,endplay,True,True,6
2023-12-19T06:57:17Z,desktop,4260,when you love someone,Alexander Stewart,when you love someone,spotify:track:0RcBg00iWhPxRbR7mm8q2Z,endplay,True,True,6
2023-12-19T06:57:19Z,desktop,2043,Backwards,Alexander Stewart,Backwards,spotify:track:0DsIoA5io9H9ViOl2YNLcR,endplay,True,True,6
